Microsoft (R) COFF/PE Dumper Version 11.00.51106.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\mscoree.dll

File Type: DLL

  Section contains the following exports for mscoree.dll

    00000000 characteristics
    4F7D11F5 time date stamp Wed Apr 04 20:31:01 2012
        0.00 version
          17 ordinal base
         126 number of functions
         123 number of names

    ordinal hint RVA      name

         38    0 0001A7B8 CLRCreateInstance
         39    1 00017784 CallFunctionShim
         21    2 00019008 CloseCtrs
         40    3 00016508 ClrCreateManagedInstance
         41    4 0001640C CoEEShutDownCOM
         42    5 00015E30 CoInitializeCor
         43    6 00015C24 CoInitializeEE
         44    7 00015F34 CoUninitializeCor
         45    8 00015D28 CoUninitializeEE
         25    9 00018EF0 CollectCtrs
         46    A 00017344 CorBindToCurrentRuntime
         47    B 00016EA8 CorBindToRuntime
         48    C 00016D44 CorBindToRuntimeByCfg
         49    D 000188A4 CorBindToRuntimeByPath
         50    E 0001898C CorBindToRuntimeByPathEx
         51    F 00017008 CorBindToRuntimeEx
         52   10 00017188 CorBindToRuntimeHost
         26   11 0000BCE4 CorDllMainWorker
         53   12 00017D20 CorExitProcess
         54   13 00018BA0 CorGetSvc
         55   14 00018C74 CorIsLatestSvc
         56   15 00016638 CorMarkThreadInThreadPool
         57   16 00018D5C CorTickleSvc
         58   17 00001600 CreateConfigStream
         59   18 00017574 CreateDebuggingInterfaceFromVersion
         60   19 0001A728 CreateInterface
         61   1A 000134FC DllCanUnloadNow
         62   1B 00013400 DllGetClassObject
         63   1C 000135F8 DllRegisterServer
         64   1D 0001373C DllUnregisterServer
         27   1E 00019D50 EEDllGetClassObjectFromClass
         65   1F 00019A14 EEDllRegisterServer
         66   20 00019B1C EEDllUnregisterServer
         67   21 00019C24 GetAssemblyMDImport
         68   22 0001A6A8 GetCLRMetaHost
         69   23 000167E8 GetCORRequiredVersion
         70   24 000187AC GetCORRootDirectory
         71   25 00008628 GetCORSystemDirectory
         72   26 00008920 GetCORVersion
         73   27 00016310 GetCompileInfo
         74   28 000132E8 GetFileVersion
         75   29 00013984 GetHashFromAssemblyFile
         76   2A 00013B04 GetHashFromAssemblyFileW
         77   2B 00013C84 GetHashFromBlob
         78   2C 00013E28 GetHashFromFile
         79   2D 00013FA8 GetHashFromFileW
         80   2E 00014128 GetHashFromHandle
         81   2F 00008A9C GetHostConfigurationFile
         82   30 0000171C GetMetaDataInternalInterface
         83   31 00019338 GetMetaDataInternalInterfaceFromPublic
         84   32 0001920C GetMetaDataPublicInterfaceFromInternal
         85   33 00019884 GetPermissionRequests
         28   34 000166EC GetPrivateContextsPerfCounters
         29   35 00008A58 GetProcessExecutableHeap
         86   36 00017930 GetRealProcAddress
         87   37 000168E0 GetRequestedRuntimeInfo
         88   38 00016AFC GetRequestedRuntimeVersion
         89   39 00016C14 GetRequestedRuntimeVersionForCLSID
         30   3A 00008A14 GetStartupFlags
         31   3B 00013160 GetTargetForVTableEntry
         32   3C 00012EFC GetTokenForVTableEntry
         90   3D 0001766C GetVersionFromProcess
         91   3E 00017A54 GetXMLElement
         92   3F 00017B40 GetXMLElementAttribute
         93   40 00017C4C GetXMLObject
